name,lat,lon
Esgl\u00e9sia Parroquial de Sant Rom\u00e0 de Perles ,42.178703,1.394025
Esgl\u00e9sia parroquial de Santa Cec\u00edlia,42.341444,1.551028
Esgl\u00e9sia parroquial de Santa Coloma,42.327846,1.471999
Esgl\u00e9sia parroquial de Santa Coloma,42.350588,1.583933
Palau Abacial del Pont de Suert ,42.407204,0.739657
Castell de Castill\u00f3 de Tor,42.434029,0.741768
Castell de Viu de Llevata,42.369183,0.815265
Castell d\u2019Adons,42.333645,0.828867
Castell d\u2019Erillcastell,42.424149,0.80161
Fortificaci\u00f3 de Bo\u00ed,42.522202,0.833665
Restes de murs i fortificacions,42.476673,0.716112
Torre del Pubill,42.50581,0.80138
Ermita de Sant Mam\u00e9s,42.484177,0.717893
Ermita de Sant Quirc de Durro,42.495098,0.811626
Ermita de Sant Quirc de Ta\u00fcll,42.513592,0.85276
Ermita de Sant Salvador d\u2019Irgo,42.437595,0.769086
Ermita de Santa Margarida de Peranera,42.442665,0.823441
Esgl\u00e9sia de l&#8217;Assumpci\u00f3 de C\u00f3ll,42.472095,0.772608
Esgl\u00e9sia de la Nativitat de Durro,42.49815,0.820681
Esgl\u00e9sia de Sant Bertomeu d\u2019Erta,42.425919,0.843675
Esgl\u00e9sia de Sant Climent de Ta\u00fcll,42.517509,0.848603
Esgl\u00e9sia de Sant Climent d\u2019Iran,42.459221,0.780123
Esgl\u00e9sia de Sant Esteve de Ventol\u00e0,42.401474,0.753057
Esgl\u00e9sia de Sant Feliu de Barruera ,42.504051,0.802436
Esgl\u00e9sia de Sant Joan de Bo\u00ed,42.522408,0.83355
Esgl\u00e9sia de Sant Rom\u00e0 de Cas\u00f3s,42.482624,0.734225
Esgl\u00e9sia de Santa Eul\u00e0lia d&#8217;Erill la Vall,42.524864,0.825608
Esgl\u00e9sia de Santa Maria de Cardet,42.497849,0.786
Esgl\u00e9sia de Santa Maria de les Neus d\u2019Irgo,42.4445,0.771355
Esgl\u00e9sia de Santa Maria de Ta\u00fcll,42.520214,0.847208
Esgl\u00e9sia de Santa Maria de Viu de Llevata,42.369434,0.812347
Esgl\u00e9sia parroquial de Sant Mart\u00ed de Llesp,42.456703,0.758649
Esgl\u00e9sia parroquial de Santa Cec\u00edlia,42.557716,0.753341
Esgl\u00e9sia parroquial de Santa Maria de Corroncui,42.333805,0.852363
Esgl\u00e9sia sufrag\u00e0nia de Sant Esteve d\u2019Ig\u00fcerri,42.430058,0.767715
Esgl\u00e9sia sufrag\u00e0nia de Santa Eul\u00e0lia de Peranera,42.421204,0.815019
Esgl\u00e9sia vella del Pont de Suert ,42.407352,0.739606
Esglesiola de Sant Iscle i Santa Victoria de Gironella,42.396042,0.789605
Restes de l\u2019esgl\u00e9sia de Sant Mart\u00ed,42.519085,0.849217
Cal Ribalta de la Fortesa,41.747008,1.537831
Els Castellots,41.483849,1.559879
Castell d&#8217;Ardesa,41.634651,1.580958
Castell d&#8217;Argen\u00e7ola ,41.598,1.442886
Castell d&#8217;\u00d2dena ,41.605991,1.639321
Castell d&#8217;Orp\u00ed ,41.518795,1.575398
Castell de Boixadors,41.770573,1.574754
Castell de Cabrera,41.513363,1.693413
Castell de Calaf ,41.733765,1.509652
Castell de Calonge,41.764278,1.480789
Castell de Castellet,41.501865,1.731253
Castell de Castellfollit,41.776344,1.436918
Castell de Castellol\u00ed ,41.588585,1.708422
Castell de Claramunt,41.55484,1.66942
Castell de Clariana,41.586498,1.500455
Castell de Conill,41.725761,1.460444
Castell de Dusfort,41.740508,1.493289
Castell de Jorba ,41.602558,1.546452
Castell de la Gu\u00e0rdia de Montserrat,41.608845,1.773753
Castell de La Gu\u00e0rdia Pilosa,41.707268,1.470274
Castell de La Roqueta,41.528644,1.484801
Castell de La Torre de Claramunt ,41.533779,1.6583
Castell de Miralles,41.518669,1.518474
Castell de Mirambell,41.731007,1.48935
Castell de Montbui,41.555202,1.579864
Castell de Montesquiu,41.694092,1.424889
Castell de Montfalc\u00f3,41.657509,1.454122
Castell de Piera ,41.515926,1.74158
Castell de Puigdem\u00e0ger,41.727905,1.550454
Castell de Pujalt ,41.717484,1.420581
Castell de Queralt,41.513664,1.45833
Castell de Rubi\u00f3 ,41.645023,1.570458
Castell de Segur,41.683178,1.468901
Castell de Tous,41.55941,1.525193
Castell de Veciana ,41.656227,1.488175
Castell de Viladem\u00e0ger,41.471848,1.550974
Castell de Vilallonga,41.702404,1.508512
Castell del Freixe,41.480366,1.74096
Castell Ferran,41.608288,1.764035
Muralles d&#8217;Igualada ,41.577778,1.617635
Muralles de Calaf ,41.733646,1.51036
Torre de Ballester,41.777729,1.435422
Torre de Jover\u00f3,41.585133,1.547737
Torre de la Manresana,41.696846,1.552028
Torre de La Panadella,41.619373,1.401669
Torre de Telegrafia \u00d2ptica de Castellol\u00ed,41.5886,1.70832
Torre del Badorc,41.501404,1.728815
Torre del Raval,41.775124,1.435017
Torre dels Moros,41.604444,1.704722
Torre Rodona,41.581264,1.433536
Capella de Sant Bernab\u00e9 d\u2019Aguilera,41.614897,1.663088
Capella de Sant Macari,41.626111,1.55075
Capella de Sant Miquel de Vilaclara,41.589607,1.749549
Capella de Sant Pere de Comalats,41.65019,1.528411
Capella de Sant Pon\u00e7,41.717474,1.421149
Capella de Sant Salvador,41.607222,1.555556
Capella de Sant Sebasti\u00e0,41.584835,1.669789
Capella de Sant Valent\u00ed de Vilallonga,41.702389,1.508511
Capella de Santa Anna del Sai\u00f3,41.57698,1.564006
Capella de Santa Magdalena del Soler,41.756105,1.45914
Ermita de la Mare de D\u00e9u de la Sala,41.589409,1.55545
Ermita de Sant Ermengol,41.694275,1.513802
Ermita de Sant Esteve de Ferriols,41.528917,1.404182
Ermita de Sant Nicolau del Tretz\u00e8,41.480367,1.741019
Ermita de Sant Sime\u00f3 estilita,41.640586,1.733542
Ermita de Santa Anna de Pedrafita,41.672833,1.584722
Sant Miquel del castell de Queralt,41.513623,1.458003
Esgl\u00e9sia de la Santa Fe de Calonge,41.764108,1.482001
